Respondent,Professional,Countries,EmploymentStatus,CompanySize,CompanyType,JobSatisfaction,JobSeekingStatus,ImportantBenefits
49866,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits; Equipment; Remote options
49921,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
50058,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Expected work hours; Remote options; Meals
50133,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Health benefits
50144,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
50184,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,0,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options
50362,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
50410,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
50460,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,I am actively looking for a job,Retirement; Annual bonus; Vacation/days off; Expected work hours; Remote options
50841,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
50924,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Expected work hours
50970,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Vacation/days off; Equipment; Professional development sponsorship; Remote options
51085,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,3,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Expected work hours
51087,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Retirement; Health benefits; Equipment; Professional development sponsorship; Remote options
51164,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Charitable match; Health benefits; Expected work hours
51295,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Annual bonus; Vacation/days off; Health benefits; Private office; Remote options
51336,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Professional development sponsorship; Expected work hours; Remote options
51376,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Equipment; Remote options
